data_structure,time,D,k,N
dumbKNN,5512,1,1,100
dumbKNN,11279,1,2,100
dumbKNN,20019,1,5,100
dumbKNN,33825,1,10,100
dumbKNN,56112,1,20,100
dumbKNN,93306,1,50,100
dumbKNN,136946,1,100,100
dumbKNN,53393,1,1,1000
dumbKNN,107710,1,2,1000
dumbKNN,167809,1,5,1000
dumbKNN,236904,1,10,1000
dumbKNN,323331,1,20,1000
dumbKNN,456918,1,50,1000
dumbKNN,665932,1,100,1000
dumbKNN,529794,1,1,10000
dumbKNN,1060600,1,2,10000
dumbKNN,1602747,1,5,10000
dumbKNN,2158841,1,10,10000
dumbKNN,2744945,1,20,10000
dumbKNN,3417530,1,50,10000
dumbKNN,4234210,1,100,10000
dumbKNN,5236987,1,1,100000
dumbKNN,10490027,1,2,100000
dumbKNN,15770149,1,5,100000
dumbKNN,21092408,1,10,100000
dumbKNN,26483083,1,20,100000
dumbKNN,31999519,1,50,100000
dumbKNN,37727719,1,100,100000
dumbKNN,5755,2,1,100
dumbKNN,12091,2,2,100
dumbKNN,22080,2,5,100
dumbKNN,35566,2,10,100
dumbKNN,55851,2,20,100
dumbKNN,93767,2,50,100
dumbKNN,140125,2,100,100
dumbKNN,56463,2,1,1000
dumbKNN,113752,2,2,1000
dumbKNN,176384,2,5,1000
dumbKNN,246811,2,10,1000
dumbKNN,336487,2,20,1000
dumbKNN,475530,2,50,1000
dumbKNN,687194,2,100,1000
dumbKNN,564453,2,1,10000
dumbKNN,1129845,2,2,10000
dumbKNN,1703278,2,5,10000
dumbKNN,2289673,2,10,10000
dumbKNN,2905427,2,20,10000
dumbKNN,3616456,2,50,10000
dumbKNN,4469674,2,100,10000
dumbKNN,5634363,2,1,100000
dumbKNN,11265119,2,2,100000
dumbKNN,16914076,2,5,100000
dumbKNN,22588492,2,10,100000
dumbKNN,28298738,2,20,100000
dumbKNN,34136432,2,50,100000
dumbKNN,40185881,2,100,100000
dumbKNN,6255,3,1,100
dumbKNN,12979,3,2,100
dumbKNN,23983,3,5,100
dumbKNN,40482,3,10,100
dumbKNN,64863,3,20,100
dumbKNN,104499,3,50,100
dumbKNN,151504,3,100,100
dumbKNN,61923,3,1,1000
dumbKNN,124543,3,2,1000
dumbKNN,194157,3,5,1000
dumbKNN,273072,3,10,1000
dumbKNN,373364,3,20,1000
dumbKNN,523631,3,50,1000
dumbKNN,754629,3,100,1000
dumbKNN,617946,3,1,10000
dumbKNN,1236928,3,2,10000
dumbKNN,1864455,3,5,10000
dumbKNN,2505787,3,10,10000
dumbKNN,3178911,3,20,10000
dumbKNN,3943040,3,50,10000
dumbKNN,4857807,3,100,10000
dumbKNN,6174156,3,1,100000
dumbKNN,12360337,3,2,100000
dumbKNN,18549918,3,5,100000
dumbKNN,24767820,3,10,100000
dumbKNN,31022439,3,20,100000
dumbKNN,37404381,3,50,100000
dumbKNN,44018031,3,100,100000
dumbKNN,6621,4,1,100
dumbKNN,13847,4,2,100
dumbKNN,25779,4,5,100
dumbKNN,44382,4,10,100
dumbKNN,74169,4,20,100
dumbKNN,119957,4,50,100
dumbKNN,177514,4,100,100
dumbKNN,65289,4,1,1000
dumbKNN,131714,4,2,1000
dumbKNN,205811,4,5,1000
dumbKNN,290808,4,10,1000
dumbKNN,399157,4,20,1000
dumbKNN,574691,4,50,1000
dumbKNN,841753,4,100,1000
dumbKNN,650412,4,1,10000
dumbKNN,1302909,4,2,10000
dumbKNN,1966532,4,5,10000
