data_structure,time,D,k,N
dumbKNN,5334,1,1,100
dumbKNN,11119,1,2,100
dumbKNN,19914,1,5,100
dumbKNN,33492,1,10,100
dumbKNN,54479,1,20,100
dumbKNN,90503,1,50,100
dumbKNN,134082,1,100,100
dumbKNN,52942,1,1,1000
dumbKNN,106843,1,2,1000
dumbKNN,166931,1,5,1000
dumbKNN,235124,1,10,1000
dumbKNN,321727,1,20,1000
dumbKNN,457452,1,50,1000
dumbKNN,666001,1,100,1000
dumbKNN,522702,1,1,10000
dumbKNN,1047907,1,2,10000
dumbKNN,1585639,1,5,10000
dumbKNN,2137180,1,10,10000
dumbKNN,2719396,1,20,10000
dumbKNN,3388817,1,50,10000
dumbKNN,4199293,1,100,10000
dumbKNN,5200124,1,1,100000
dumbKNN,10406707,1,2,100000
dumbKNN,15648913,1,5,100000
dumbKNN,20915046,1,10,100000
dumbKNN,26243185,1,20,100000
dumbKNN,31724240,1,50,100000
dumbKNN,37427436,1,100,100000
dumbKNN,5923,2,1,100
dumbKNN,12132,2,2,100
dumbKNN,21497,2,5,100
dumbKNN,36014,2,10,100
dumbKNN,59537,2,20,100
dumbKNN,98704,2,50,100
dumbKNN,144350,2,100,100
dumbKNN,55851,2,1,1000
dumbKNN,112572,2,2,1000
dumbKNN,175231,2,5,1000
dumbKNN,246265,2,10,1000
dumbKNN,336487,2,20,1000
dumbKNN,478359,2,50,1000
dumbKNN,695444,2,100,1000
dumbKNN,557943,2,1,10000
dumbKNN,1117324,2,2,10000
dumbKNN,1684401,2,5,10000
dumbKNN,2264751,2,10,10000
dumbKNN,2874034,2,20,10000
dumbKNN,3572272,2,50,10000
dumbKNN,4418898,2,100,10000
dumbKNN,5576622,2,1,100000
dumbKNN,11159218,2,2,100000
dumbKNN,16751147,2,5,100000
dumbKNN,22359898,2,10,100000
dumbKNN,28007537,2,20,100000
dumbKNN,33781703,2,50,100000
dumbKNN,39779531,2,100,100000
dumbKNN,6201,3,1,100
dumbKNN,12876,3,2,100
dumbKNN,23144,3,5,100
dumbKNN,37963,3,10,100
dumbKNN,61388,3,20,100
dumbKNN,100784,3,50,100
dumbKNN,147719,3,100,100
dumbKNN,60927,3,1,1000
dumbKNN,122734,3,2,1000
dumbKNN,190392,3,5,1000
dumbKNN,267016,3,10,1000
dumbKNN,363442,3,20,1000
dumbKNN,511703,3,50,1000
dumbKNN,740681,3,100,1000
